ID,INCOME_LEVEL,SEX,AGE,TOWN,OCCUPATION,HEIGHT,1SIBLING,2HOME,3EDUC,4TRAVEL,5CREDIT,6CR SUM,7CARD,8PASTIME,9CHANGES,10DAILY TRAVEL,11TRAVEL MODE,12CONSCIOUS,13ACCOUNTS,14SUM,15MOBILE,16MOBTIME,17CAR,18INTERNET,19SPORT,20VEGAN,21CIVIL,22POLIT,23ILL,24MEDICINE,25DOCTOR,26COVID,27ADVERT,28CULTURE,29FOOD,30CHILDREN,31ROOMS,32VALUABLES,33CLOTHS,34JEWELS,35SMOKE,36ALCOHOL,37MUSIC,38FACE,39TWITTER,40ONLINE1,41ONLINE2,42TV,43REFURB,44MOVE,45TRAVDEST
0,l0,male,36,Budakeszi,asztalos ,165,3,0,3,1,1,1,1,1,2,1,1,0,1,590617,1,0,0,0,1,1,1,1,1,1,4,1,0,0,2,0,3,0,2,1,1,2,2,1,0,2,2,1,1,0,1
1,l0,male,32,Nagykanizsa,Szakorvos ,182,0,0,3,0,1,1,1,1,3,0,0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,317,3,3,1,1,1,0,0,1,1,1,0,1,2
2,l1,female,48,Budakeszi,Lakatos ,161,0,2,4,0,1,1,1,1,2,0,0,0,1,0,1,0,0,1,1,1,0,1,1,1,3,1,0,1,2,0,0,106,3,2,1,3,2,1,1,2,2,1,1,1,1
3,l0,male,34,Budakeszi,asztalos ,164,4,0,3,1,1,1,1,2,1,0,0,0,0,282770,0,0,0,0,1,0,1,1,1,1,5,2,0,1,2,2,3,406,2,3,1,3,1,0,0,1,1,1,0,0,3
4,l1,male,44,Nagykanizsa,Szakorvos ,191,3,0,3,0,1,1,1,1,2,3,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,2,0,1,2,0,1,202,2,3,1,3,2,1,0,2,2,1,0,1,3
5,l0,male,48,Nagykanizsa,asztalos ,160,3,0,3,1,1,1,1,1,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,2,2,0,1,0,0,3,677,2,0,1,3,2,0,1,1,2,1,1,0,3
6,l1,female,41,Nagykanizsa,Lakatos ,179,4,0,4,1,1,1,1,1,2,1,0,0,1,204248,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,4,0,2,3,1,3,1,1,1,2,2,1,1,0,1
7,l1,female,27,Budakeszi,Szakorvos ,155,4,1,3,1,1,2,1,1,3,4,1,0,0,118750,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,56130,2,1,1,1,2,0,0,0,0,0,1,1,1
8,l1,male,59,Budakeszi,Lakatos ,171,3,0,3,1,1,1,1,2,2,4,4,0,0,285095,1,0,0,0,1,0,0,1,1,0,3,1,0,1,2,0,4,333,1,1,1,1,1,1,0,1,0,0,1,0,1
9,l0,male,26,Budakeszi,asztalos ,163,1,0,3,1,1,1,1,1,2,2,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,2,0,0,0,2,4,5968,2,0,1,1,2,1,0,1,0,1,0,0,3
